Year,Mon,day,Origin-Time - hr - (UTC),Origin-Time - min - (UTC),Origin-Time - sec - (UTC),Latitude - ∞N,Longitude - ∞E,Depth - (Km),Magnitude - (Richter scale)
2017,12,11,16,49,54,12.3,93.7,116,4.6
2017,12,11,3,35,17,25.6,90.6,60,4.7
2017,12,15,21,25,19,26.4,93.7,30,3.3
2017,12,17,6,20,40,27.6,94.3,10,4.2
2017,12,21,18,47,11,27.4,92.5,10,3.9
2017,12,22,15,58,47,10,93.1,10,5
2017,12,23,15,45,1,23.5,94.1,126,4.9
2017,12,25,4,14,21,19.8,73.2,5,3.4
2017,12,27,15,15,52,9,77.2,5,3
2017,12,28,11,17,28,30.4,79.2,33,4.7
2017,12,29,16,19,15,26.8,95.9,110,4.7
2017,12,29,11,29,38,8.6,92.4,10,5.2
2017,12,30,18,32,7,25.5,91,10,3
2017,12,31,0,31,18,27.3,92.7,10,3.2
