the_geom,county,city_village_or_cdp,housing_type,complex_name,complex_address,units,acres,status,year,comment,conversion_date,cartodb_id,state,latitude,longitude,accuracy_score,accuracy_type,number,street,city,zip,country,source
0101000020E6100000A28F9EC7CD6952C0CFC6003F994C4440,Nassau,Barnum Island,COND,Island Park Yacht Club,100 Baker Ct.,128,,BUILT,1984,,,52,New York,40.5984267,-73.6531848,1,street_address,100,Baker Ct,Hempstead,,US,Google Script
0101000020E6100000584634CB2F6D52C0034B64D5D6644440,Nassau,Manhasset,APT,Manhasset Square,Route 25A & Community Dr.,355,16,PROP,2019,,,997,New York,40.7878062,-73.7060421,1,intersection,,,North Hempstead,11030,US,Google Script
0101000020E610000084769840DB3D52C08DC756E1E0784440,Suffolk,Mount Sinai,APT,Harbor Village at Mount Sinai,950 Route 25A & Wylde Rd.,225,17.8,UC,2019,SRCIT,,1298,New York,40.9443628,-72.9665071,1,street_address,950,NY-25A,Brookhaven,11787,US,Google Script
0101000020E6100000F2EEC8586D6752C08D9AAF928F5D4440,Nassau,Garden City,APT,Southern Land Company,555 Stewart Ave.,150,4.6,PROP,2019,,,973,New York,40.730944,-73.616049,1,range_interpolation,555,Stewart Ave,Garden City,11530,US,TIGER/Line® dataset from the US Census Bureau
0101000020E6100000CA935ADE0B6852C02607A2DDD7594440,Nassau,Hempstead,APT,Adams Court,"12, 24, 36 Grove St.",54,,BUILT,1981 E,,,236,New York,40.7019002,-73.6257244,1,subpremise,24,Grove St,Hempstead,11549,US,Google Script
0101000020E6100000D8D5E429AB6C52C028EFE3688E544440,Nassau,Valley Stream,APT,South Grove Apts.,"95, 99 S. Grove St.",48,0.5,BUILT,1926,,,508,New York,40.660596,-73.697947,1,street_address,95-99,S Grove St,Hempstead,11580,US,Google Script
0101000020E6100000079046AA945452C0C9491751C95F4440,Suffolk,North Babylon,COND,Deer Park Avenue Villas,Jacqueline Way,75,3.7,BUILT,2008,,,1110,New York,40.7483312,-73.3215738,1,route,,Jacqueline Way,Babylon,11703,US,Google Script
0101000020E61000001E087F758B6952C07CE24A87986E4440,Nassau,Glen Cove,APT,---,"17, 19, 21 McLoughlin St.",12,,BUILT,1961,,,1,New York,40.8640298,-73.6491369,1,subpremise,19,McLoughlin St,,11542,US,Google Script
0101000020E61000005A48C0E8726852C0852F0219F06E4440,Nassau,Glen Cove,APT,Glen Arms Apts.,"21, 31, 33 Brewster St.",184,4.2,BUILT,1973,,,16,New York,40.8667022,-73.6320135,1,subpremise,31,Brewster St,,11542,US,Google Script
0101000020E610000073A0E293A93952C0DA95F14AED6C4440,Suffolk,Yaphank,COND,Country Pointe Meadows (part),Yaphank Woods Blvd&Boulevard W,451,,UC,2017,,,1381,New York,40.8509916,-72.9009752,1,route,,Yaphank Woods Blvd,Brookhaven,,US,Google Script
0101000020E610000049F086342A6E52C0F7B0170AD8644440,Nassau,Great Neck Plaza,APT,Village Gardens,"11,13 Welwyn Rd.",90,1.1,BUILT,1948,,,736,New York,40.787843,-73.721326,1,subpremise,13,Welwyn Rd,North Hempstead,11020,US,Google Script
0101000020E61000006A0CDF67015652C0B6589B1084664440,Suffolk,Dix Hills,COND,Stone Ridge Estates,Joseph La. & Deer Park Ave.,76,12,BUILT,2008,SRCIT,,1445,New York,40.8009053,-73.3438358,1,"establishment,point_of_interest",507,Deer Park Ave,Huntington,,US,Google Script
0101000020E6100000290F666E996752C02002582E655A4440,Nassau,Hempstead,APT,Washington Square Apts.,"100,150 Washington,135 Clinton",447,6.4,BUILT,1968,,,301,New York,40.7062128,-73.6187397,1,"locality,political",,,Hempstead,11549,US,Google Script
0101000020E6100000DB7E43F2DF6C52C00BDDDBE33B514440,Nassau,Hewlett,APT,Hewlett Manor,"1175,1185 E. Broadway",50,0.7,BUILT,<1963,,,311,New York,40.6346402,-73.7011686,1,subpremise,1185,E Broadway,Hempstead,11557,US,Google Script
0101000020E610000077B4160B686952C0F1A8E793CB4A4440,Nassau,Long Beach,APT,---,"60,61,66 Neptune Blvd.",28,0.9,BUILT,1951,,,550,New York,40.5843377,-73.6469753,1,subpremise,61,Neptune Blvd,,11561,US,Google Script
0101000020E6100000783B67B0CE5C52C03AC9FBDDE0684440,Suffolk,West Hills,COND,Kensington Estates,1130 W. Jericho Tpke.,80,18.6,UC,2019,SRCIT,,1520,New York,40.8193624,-73.4501153,1,street_address,1130,W Jericho Turnpike,Huntington,11753,US,Google Script
0101000020E6100000847703160A6952C04336DABB50544440,Nassau,Rockville Centre,APT,---,2-6 Windemere Pl.,12,0.3,BUILT,<1964,,,413,New York,40.6587138,-73.6412406,1,"locality,political",,,Hempstead,11570,US,Google Script
0101000020E610000013622EA9DA6852C0B9A81611C54A4440,Nassau,Long Beach,COOP,Executive Towers at Lido,"854, 860 E. Broadway",276,2.3,BUILT,1968,,,571,New York,40.584139,-73.638346,1,subpremise,860,E Broadway,,11561,US,Google Script
0101000020E61000000035B56CAD6952C088FCE9F5DD4A4440,Nassau,Long Beach,APT,Floridian,"330,340 E. Broadway",24,0.3,BUILT,<1964,,,573,New York,40.5848987,-73.65121,1,route,,E Broadway,,11561,US,Google Script
0101000020E6100000C6151747E56952C06284F068E34A4440,Nassau,Long Beach,APT,Golden Shores,"319,325 E. Broadway",26,0.2,BUILT,<1964,,,576,New York,40.585065,-73.654619,1,street_address,319-325,E Broadway,,11561,US,Google Script
0101000020E61000006B781FEC396B52C0479451C0D14A4440,Nassau,Long Beach,COND,Sandcastles,"730,750 W. Broadway",80,1.5,BUILT,1985,,,608,New York,40.5845261,-73.6754103,1,route,,W Broadway,,11561,US,Google Script
0101000020E61000000035B56CAD6952C088FCE9F5DD4A4440,Nassau,Long Beach,APT,Twin Garden Apts.,"242,248 E. Broadway",12,0.2,BUILT,<1964,,,641,New York,40.5848987,-73.65121,1,route,,E Broadway,,11561,US,Google Script
0101000020E61000002E895869F76A52C0D19BE50D8B5F4440,Nassau,Garden City Park,COND,Beechwood at New Hyde Park,Eastern Dr. & Pubins La.,14,1.1,BUILT,1988,,,655,New York,40.7464311,-73.6713508,1,intersection,,,North Hempstead,14730,US,Google Script
0101000020E6100000D040D1E1466E52C07C1C171FB0644440,Nassau,Great Neck Plaza,APT,Schenck Gardens,"9,11,15,17 Schenck Ave.",96,1.5,BUILT,1950,,,716,New York,40.7866248,-73.7230763,1,subpremise,17,Schenck Ave,North Hempstead,11020,US,Google Script
0101000020E610000039B12C3D3F6D52C037925F9A7D6B4440,Nassau,Manorhaven,APT,---,"54, 56 Sintsink Dr. E.",18,0.6,BUILT,1979,,,750,New York,40.8397706,-73.7069848,1,subpremise,56,Sintsink Dr E,North Hempstead,11050,US,Google Script
0101000020E61000006224C511356D52C060217365506B4440,Nassau,Manorhaven,APT,---,"42, 44 Sintsink Dr. E.",32,1.2,BUILT,1982,,,751,New York,40.838391,-73.7063641,1,subpremise,44,Sintsink Dr E,North Hempstead,11050,US,Google Script
0101000020E610000013C5F539886952C0191B5F20AD664440,Nassau,Roslyn,COND,Roslyn Landing,504 Grist Mill Cir.,78,11.7,BUILT,2019,,,835,New York,40.8021584,-73.6489396,1,street_address,504,Grist Mill Cir,North Hempstead,11576,US,Google Script
0101000020E61000000BA88130016252C095D8B5BDDD634440,Nassau,Jericho,APT,Fairhaven,17th St. & N. Broadway,235,,BUILT,1958,,,922,New York,40.7802045,-73.5313226,1,intersection,,,Oyster Bay,11753,US,Google Script
0101000020E6100000AB0C3E28036352C0DFFEB7EDD6644440,Nassau,Jericho,COND,Hamlet East,Foxwood Dr. & Jericho Tpke.,162,34,BUILT,1987,,,924,New York,40.7878091,-73.5470677,1,intersection,,,Oyster Bay,11753,US,Google Script
0101000020E6100000610619B7076252C05193CFE1106F4440,Nassau,Oyster Bay,COND,Mariner's Walk,Mariner's Walk & South St.,28,1.9,BUILT,2008,,,940,New York,40.8677027,-73.5317209,1,intersection,,,Oyster Bay,11771,US,Google Script
0101000020E6100000DD5F3DEE5B5E52C0E9B81AD995664440,Nassau,Woodbury,COND,Eagle Chase at Woodbury,Eagle Chase St. & Sunnyside,100,28,BUILT,1988,,,955,New York,40.801448,-73.474361,1,route,,Eagle Chase,Oyster Bay,11797,US,Google Script
0101000020E6100000DC018D88988F5DC0CA5D3A9CAF064140,Nassau,Woodbury,COND,Woodbury Village,Village La. & Jericho Tpke.,152,14,BUILT,1976,,,963,New York,34.0522342,-118.2436849,1,"locality,political",,,,11797,US,Google Script
0101000020E61000002EF191DE815A52C0A64819CCBA564440,Suffolk,Amityville,APT,Union Avenue Apartments,"72, 76, 80 Union Ave.",12,0.5,BUILT,1928,,,1038,New York,40.6775756,-73.4141766,1,subpremise,76,Union Ave,Babylon,11701,US,Google Script
0101000020E610000096E65608AB5452C0151BF33AE2584440,Suffolk,Babylon,APT,Village Manor,"113, 125 Fire Island Ave.",10,1,BUILT,1968,,,1053,New York,40.694404,-73.322939,1,subpremise,125,Fire Island Ave,Babylon,11702,US,Google Script
0101000020E6100000B5AFF2BA345552C047BF6CF1DF594440,Suffolk,Babylon,COND,Village Park,Rosebud La. & Park Ave.,14,1.4,BUILT,2015,,,1055,New York,40.7021467,-73.3313434,1,route,,Park Ave,Babylon,11702,US,Google Script
0101000020E6100000F369BA43AF1A52C07BCCF6D7E18A4440,Suffolk,Southold,COND,Eastwind Shores,51820 Rte. 48,10,2.5,BUILT,1984,,,1906,New York,41.0850172,-72.4169473,1,street_address,51820,County Rd 48,Southold,11971,US,Google Script
0101000020E6100000D244E91C4D1852C026C79DD2C18D4440,Suffolk,Greenport West,APT,Vineyard View,~62800 North Rd.,50,17.3,UC,2019,AFFORD,,1904,New York,41.1074775,-72.3797066,1,street_address,62800,N Rd,Southold,,US,Google Script
0101000020E61000009492D4F8BB1752C0EF682D16D08C4440,Suffolk,Greenport West,COOP,Driftwood Cove,500 9th St. & Route 25,101,5.1,BUILT,1974,APTCONV,1985,1900,New York,41.1001003,-72.3708479,1,intersection,,,Southold,,US,Google Script
0101000020E610000005B28D2EA55552C0D704076AE7644440,Suffolk,Dix Hills,COND,Seasons at Dix Hills,652 Deer Park Ave.,86,9,PROP,2016,SRCIT,,1961,New York,40.7883122,-73.3382069,1,street_address,652,Deer Park Ave,Huntington,11729,US,Google Script
0101000020E61000006021CE1EC35A52C0C9271A5A536F4440,Suffolk,Huntington,COND,Crystal Springs,"99, 131 Spring Rd.",15,4.3,PROP,2019,SRCIT,,1970,New York,40.8697312,-73.4181592,1,subpremise,131,Spring Rd,Huntington,11743,US,Google Script
0101000020E61000004C07A172025752C04470B77FC0604440,Suffolk,Wyandanch,APT,Wyandanch Village (part),40 Station Dr. & Straight Path,30,,BUILT,2015,,,1173,New York,40.7558746,-73.3595244,1,street_address,40,Station Dr,Babylon,11798,US,Google Script
0101000020E6100000583CF548834852C01E54E23AC65F4440,Suffolk,Oakdale,APT,Greenview Commons West,4180 Sunrise Hwy. & Pond Rd.,158,13,PROP,2014,SRCIT,,1992,New York,40.748237,-73.133013,1,street_address,4180,Sunrise Hwy,Islip,11731,US,Google Script
0101000020E6100000A59F70766B4052C00929893611724440,Suffolk,Coram,APT,Avalon Pines,Pine Rd. & C.R. 83,450,48.6,BUILT,2005,,,1190,New York,40.8911503,-73.006559,1,intersection,,,Brookhaven,11727,US,Google Script
0101000020E6100000D87C5C1BAA3F52C0A019C407766C4440,Suffolk,Coram,COND,Country Pointe at Coram,Granny Rd. & Elisha Overton Rd,240,51.9,BUILT,2005,,,1194,New York,40.847352,-72.9947575,1,route,,Granny Rd,Brookhaven,11727,US,Google Script
0101000020E61000008A71FE26146552C0BF9B6ED921604440,Nassau,New Cassel,COND,The Tiffany,54 School St.,79,1.9,BUILT,1992,SRCIT,,794,New York,40.751033,-73.579355,1,street_address,54,School St,North Hempstead,,US,Google Script
0101000020E6100000FC1C7AE6C05752C02332079C00614440,Suffolk,Wheatley Heights,COOP,Wheatley Heights Garden Apts.,175 Main Ave.,78,4.9,BUILT,1973,APTCONV,1988,1168,New York,40.7578311,-73.3711487,1,street_address,175,Main Ave,Babylon,,US,Google Script
0101000020E610000014AE47E1FA3F52C0BB0D6ABFB5744440,Suffolk,Coram,COND,Strathmore Court,Strathmore Ct. Dr. & Canal Rd.,440,63.9,BUILT,"1973, 1985",,,1215,New York,40.9117965,-72.9996875,1,intersection,,,Brookhaven,11727,US,Google Script
0101000020E61000008C37E801624052C07A2E9D20FB644440,Suffolk,East Patchogue,APT,Fairfield at North Patchogue,68-76 Mt.Vernon Av.,48,7.6,BUILT,"1964,1968",,,1231,New York,40.7889138,-73.0059819,1,premise,68,Mt Vernon Ave,Brookhaven,11772,US,Google Script
0101000020E6100000424AA24D442F52C0DEC83CF207694440,Suffolk,Eastport,COND,Pepperidge Lake,Pepperidge Lake & E. Moriches,34,24.8,BUILT,1984,,,1239,New York,40.820555,-72.7385439,1,intersection,,,Brookhaven,13092,US,Google Script
0101000020E61000005BD5ED47654152C0B6251708A76C4440,Suffolk,Farmingville,APT,Fairfield Hills South,Overlook Dr. & Bicycle Path,202,30.5,BUILT,2002,,,1241,New York,40.8488474,-73.0218067,1,intersection,,,Brookhaven,11738,US,Google Script
0101000020E61000001266DAFE952F52C0079ACFB9DB7B4440,Suffolk,Baiting Hollow,COND,Bluffs at Baiting Hollow,101-618 Fox Hill Dr.,126,18.3,BUILT,1984,,,1729,New York,40.967643,-72.74353,1,street_address,101,Fox Hill Dr,Riverhead,,US,Google Script
0101000020E61000001829EF3EA24252C0058E1546C4684440,Suffolk,Holtsville,COND,Waverly Estates,Gazebo La. & Express Drive S.,66,9.9,BUILT,1988,,,1247,New York,40.8184898,-73.0411527,1,route,,Gazebo Ln,Brookhaven,11742,US,Google Script
0101000020E61000003CFF2C4C954152C0F0CAE48A41694440,Suffolk,Holtsville,COND,Wildwood Estates,Wildwood Cir &LIE S.Service Rd,58,7.6,BUILT,2014,,,1248,New York,40.8223127,-73.0247374,1,route,,Wildwood Cir,Brookhaven,501,US,Google Script
0101000020E61000000C8519645C4652C04CE6B397C8674440,Suffolk,Lake Ronkonkoma,APT,Fairfield at Ronkonkoma,Village Plaza Dr.,60,7.4,BUILT,2005,,,1255,New York,40.8108091,-73.0993891,1,route,,Village Plaza Dr,Brookhaven,11779,US,Google Script
0101000020E6100000B767F1BD1A6752C05AAC9795DC554440,Nassau,Baldwin,COOP,Mendicino Green,"1570, 1600 Grand Ave.",106,4.9,BUILT,1955,APTCONV,1984,46,New York,40.6707942,-73.6110072,1,subpremise,1600,Grand Ave,Hempstead,11510,US,Google Script
0101000020E6100000AEB8382A376C52C0026729594E624440,Suffolk,Medford,COND,Victorian Homes,S.Service Rd. & California Ave,50,11.6,BUILT,1999,,,1278,New York,40.768016,-73.690867,1,"bus_station,establishment,point_of_interest,transit_station",,,North Hempstead,11763,US,Google Script
0101000020E6100000122C0E677E4052C0FF976BD102784440,Suffolk,Mount Sinai,COND,Ranches at Mount Sinai,Constantine Way & Rte. 25A,186,33.4,BUILT,2003,,,1301,New York,40.937586,-73.007715,1,street_address,25,Constantine Way,Brookhaven,11766,US,Google Script
0101000020E610000057091687336D52C0F93F87F9F25C4440,Nassau,Floral Park,COOP,Flowerview Gardens,"55,91 Tulip Ave,5 Adelaide St.",289,5.5,BUILT,1951,APTCONV,1989,105,New York,40.726165,-73.70627,1,street_address,55-91,Tulip Ave,Hempstead,11001,US,Google Script
0101000020E61000005D120C8C614352C09C36E33444774440,Suffolk,Port Jefferson,APT,Barnum House,Route 112 & Barnum Ave.,30,2,BUILT,2002,,,1333,New York,40.931769,-73.0528288,1,route,,NY-112,Brookhaven,11777,US,Google Script
0101000020E610000091FB0C5E2A4452C0DD20FF7167744440,Suffolk,Port Jefferson Station,COND,Stonington,Old Town Rd. & Rte. 347,160,25.1,BUILT,1998,,,1355,New York,40.9094069,-73.0650859,1,intersection,,,Brookhaven,11776,US,Google Script
0101000020E6100000F0E65F819E6552C01C29B6DD5F544440,Nassau,Freeport,COOP,"Park East, West, & Southwest","45, 65 N. Ocean, 50 N. Bergen",127,1.9,BUILT,1963,APTCONV,1983,159,New York,40.6591756,-73.5877994,1,subpremise,65,N Ocean Ave,Hempstead,11520,US,Google Script
0101000020E6100000AFEC82C1353952C029DB76908D6C4440,Suffolk,Yaphank,COND,Colonial Woods,William Floyd Parkway,360,87.4,BUILT,"1973,1983",,,1380,New York,40.8480702,-72.893906,1,route,,William Floyd Pkwy,Brookhaven,11980,US,Google Script
0101000020E61000008AF0E5F42B6552C07B1C61ACCA604440,Nassau,New Cassel,APT,Apex Senior Housing,498 Union Ave.,38,,BUILT,2003,SRCIT-AFFORD,,790,New York,40.7561851,-73.5808079,1,street_address,498,Union Ave,North Hempstead,,US,Google Script
0101000020E610000089DD8838E7FB51C0821FD5B0DF864440,Suffolk,Montauk,COND,Villas at Montauk Downs,10 Fairway Pl. & Fairview Ave.,24,2.5,BUILT,1980,,,1428,New York,41.0537015,-71.9359876,1,street_address,10,Fairway Pl,East Hampton,11954,US,Google Script
0101000020E61000001752D90BE05A52C093F30F6CA66F4440,Suffolk,Huntington,COND,Parkridge,Parkridge Ct.,16,1.4,BUILT,1995,,,1468,New York,40.8722663,-73.4199247,1,route,,Parkridge Ct,Huntington,11743,US,Google Script
0101000020E61000002A37514B736752C0B07BE184F85B4440,Nassau,Hempstead,APT,Antioch Citadel of Hope,107 James L. Burrell Ave.,36,1,BUILT,2000,SRCIT-AFFORD,,240,New York,40.7185217,-73.616412,1,premise,107,James L L Burrell Ave,Hempstead,11735,US,Google Script
0101000020E61000001BD31396786752C02BA391CF2B5A4440,Nassau,Hempstead,APT,Gladys Gardens,"20,40 Gladys Ave.",30,1,BUILT,1972,AFFORD,,261,New York,40.704462,-73.616735,1,street_address,20-40,Gladys Ave,Hempstead,11549,US,Google Script
0101000020E61000006BD443343A5A52C09D256D4F356A4440,Suffolk,Huntington Station,APT,Twin Oaks Apartments,2114 & 2116 New York Ave.,23,0.5,BUILT,1957,,,1488,New York,40.8297519,-73.4098025,1,subpremise,2116,New York Ave,Huntington,11746,US,Google Script
0101000020E610000085371037CC5952C0453BB885F86C4440,Suffolk,Huntington Station,APT,Winoka Manor,168-180 Lenox Rd. & Pulaski Rd,100,9,BUILT,1952,,,1491,New York,40.8513343,-73.4030893,1,street_address,168,Lenox Rd,Huntington,11746,US,Google Script
0101000020E6100000E4DBBB067D6E52C0F48AA71E69644440,Nassau,Great Neck Plaza,APT,Clent Apts.,"5,10,15,20 Clent Rd.",152,,BUILT,1948,,,695,New York,40.784458,-73.726381,1,subpremise,20,Clent Rd,North Hempstead,11020,US,Google Script
0101000020E6100000906AD8EF096752C066112FF42D5B4440,Nassau,Hempstead,APT,Twin Oaks,7 & 21 Manor Ave.,94,1.7,BUILT,1961,AFFORD,,292,New York,40.7123399,-73.6099815,1,subpremise,21,Manor Ave,Hempstead,11549,US,Google Script
0101000020E6100000B8DAD48A805652C046BCD0B760724440,Suffolk,Northport,COND,Greentree at Northport,North Rd. & Lisa Dr.,63,28.2,BUILT,"1983,1986",,,1516,New York,40.8935766,-73.3515956,1,route,,North Rd,Huntington,11768,US,Google Script
0101000020E6100000EDE016E2475A52C08A288128F3674440,Suffolk,West Hills,COND,Whitman Ridge,Whitman Ridge Dr.& Overhill Rd,17,4.6,BUILT,1993,,,1521,New York,40.8121081,-73.4106374,1,intersection,,,Huntington,13804,US,Google Script
0101000020E6100000700F9DF9306752C087495DD7D4594440,Nassau,Hempstead,APT,Woods Edge Apts.,110 & 130 Jerusalem Ave.,128,2.8,BUILT,1959,AFFORD,,304,New York,40.7018079,-73.6123642,1,subpremise,130,Jerusalem Ave,Hempstead,11549,US,Google Script
0101000020E610000005DAC298195052C0C999DCDE245D4440,Suffolk,Bay Shore,APT,Bay Shore Manor,2-24 Garfield Street & 3rd Av.,112,6.7,BUILT,1951,,,1530,New York,40.7276877,-73.2515623,1,street_address,2,Garfield St,Islip,11706,US,Google Script
0101000020E6100000626E522C125052C0BB4ED99F7A5C4440,Suffolk,Bay Shore,APT,Chelsea Place,1010-128 Railroad Av & Park Av,26,0.6,BUILT,2009,,,1536,New York,40.7224922,-73.2511092,1,route,,Park Ave,Islip,11702,US,Google Script
0101000020E61000001603DA0CA65052C09929ADBF255E4440,Suffolk,Bay Shore,COND,Dogwood Estates,Trim St. & N. Park Ave.,36,5.8,BUILT,1990,,,1539,New York,40.735527,-73.2601349,1,intersection,,,Islip,11763,US,Google Script
0101000020E6100000680586ACEE6E52C0DCAC0B89C54E4440,Nassau,Lawrence,COOP,Northgate and Southgate,250 & 255 Central Ave.,66,2.4,BUILT,<1963,APTCONV,1984,334,New York,40.6154033,-73.7333175,1,subpremise,255,Central Ave,Hempstead,11559,US,Google Script
0101000020E610000086F24FBABE4352C04E147C2EAE5F4440,Suffolk,Bayport,COND,Lakeview Woods,414 Lakeview Ave.&Montauk Hwy.,32,8.2,BUILT,2009,,,1577,New York,40.7475031,-73.0585161,1,street_address,414,Lakeview Ave,Islip,11705,US,Google Script
0101000020E610000081A32E63D45052C0DC1AC7FE685C4440,Suffolk,Brightwaters,APT,---,104 & 106 Orinoco Dr.,20,0.6,BUILT,1958,,,1601,New York,40.7219542,-73.2629631,1,subpremise,106,Orinoco Dr,Islip,11718,US,Google Script
0101000020E610000010A15BF9F66852C06AF06371A4514440,Nassau,Oceanside,COOP,Theresa Gardens,Mahland Pl. & Long Beach Rd.,22,,BUILT,2007,SRCIT-AFFORD,,407,New York,40.6378309,-73.6400741,1,intersection,,,Hempstead,11572,US,Google Script
0101000020E6100000DA7D7D63BE4452C0458545A055624440,Suffolk,Holbrook,APT,Saddle Rock,Saddle Rock Rd. & Sunrise Hwy.,330,41.6,BUILT,1995,,,1650,New York,40.7682381,-73.0741204,1,"establishment,point_of_interest",1000,Saddle Rock Rd,Islip,11741,US,Google Script
0101000020E610000089A4CCBC0B6952C0DB99098673544440,Nassau,Rockville Centre,COOP,Hampton House,120 Morris Ave. & Grand Ave.,62,1.3,BUILT,1959,APTCONV,1981,437,New York,40.6597755,-73.6413414,1,premise,120,Morris Ave,Hempstead,11801,US,Google Script
0101000020E61000000F5F268A904E52C07EA83462665D4440,Suffolk,Islip,APT,Fairfield at Saxon Arms,16-20 N. Saxon Ave.,36,2.1,BUILT,1968,,,1667,New York,40.729687,-73.227572,1,street_address,1620,Saxon Ave,Islip,11751,US,Google Script
0101000020E61000004427953A924D52C00A592778545D4440,Suffolk,Islip,APT,Meridian Lofts,16 Willow Ave. & Main St.,10,0.2,BUILT,2018,,,1674,New York,40.7291403,-73.2120501,1,premise,16,Willow Ave,Islip,11937,US,Google Script
0101000020E6100000DCE401767F4D52C0928BD6F61B5E4440,Suffolk,Islip,APT,Pine Brook Apartments,"155, 159 Nassau Ave.",16,0.7,BUILT,1963,,,1675,New York,40.7352284,-73.2109046,1,subpremise,159,Nassau Ave,Islip,11751,US,Google Script
0101000020E6100000C6E0BC932A4752C02DF9E989F85E4440,Suffolk,Oakdale,COND,Willow Wood,Willow Wood Dr. & Locust Ave.,67,23,BUILT,2003,,,1692,New York,40.7419598,-73.1119737,1,intersection,,,Islip,11769,US,Google Script
0101000020E6100000730CC85EEF6C52C07FDDE9CE13534440,Nassau,Valley Stream,COOP,Gibson Garden Apts.,"510,530 Dubois Ave.",87,1.4,BUILT,1956,APTCONV,1983,504,New York,40.649042,-73.70211,1,street_address,510-530,Dubois Ave,Hempstead,11580,US,Google Script
0101000020E61000003C3FD69D382052C0E02EFB75A7704440,Suffolk,Hampton Bays,COND,Canoe Place Landing,Canoe Place Landing,12,4.5,BUILT,2015,,,1766,New York,40.8801105,-72.5034556,1,route,,Canoe Place Rd,Southampton,11946,US,Google Script
0101000020E6100000E7093A10C81952C0794B83EC06764440,Suffolk,North Sea,COND,Courtyards at Southampton,Savannah La. & Majors Path,50,8.8,BUILT,2007,,,1785,New York,40.9220863,-72.4028359,1,route,,Majors Path,Southampton,11968,US,Google Script
0101000020E610000083B641927E1C52C055AD3BCC4D714440,Suffolk,Shinnecock Hills,COND,Pond Crossing at Southampton,Pond Crossing & Dellaria Ave.,16,4.5,BUILT,2009,,,1798,New York,40.8851867,-72.4452253,1,intersection,,,Southampton,11779,US,Google Script
0101000020E610000071DB08D5171B52C031B6B52A2E724440,Suffolk,Tuckahoe,COND,Southampton Pointe,Village Green Dr & Tuckahoe La,50,7.3,BUILT,2018,,,1813,New York,40.8920339,-72.4233296,1,"establishment,point_of_interest",,,Southampton,10707,US,Google Script
0101000020E6100000455A74FCE12852C06E75EF9705694440,Suffolk,Westhampton Beach,APT,Country Style Garden Apts.,325 Montauk Hwy. & Mortimer St,24,2.3,BUILT,1964,,,1829,New York,40.8204832,-72.6387931,1,premise,325,Montauk Hwy,Southampton,11941,US,Google Script
